Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
Indian Mutton Keema,Singapore, 1 serving,385,20,26,21
Mutton With Gravy,Generic, 1 cup cooked,320,5,13,43
Mutton Curry,Indian, 158 g,292,4,19,31
Mutton Gravy,Suhana, 80 gms,430,40,26,9
Mutton / Lamb Biryani,Indian Food, 1 plate cooked,250,5,11,24
Shami Kebab Lamb/ Mutton,Indian, 65.9 grams ( 1 pcs),188,10,9,15
Mutton Briyani,South Indian, 1 plate,500,55,12,25
Mutton,Mutton, 100 grams,294,0,21,25
"Rice, Peas & Curry Mutton",West Indian, 1 portion,400,0,14,0
100g Mutton Curry + 50 g Mutton Gravy [150g],Durban, 150 g,300,0,0,0
Indian Mutton Curry With Potato,Healthxchange.com.sg, 191 g,284,9,12,34
Mutton Handi - Lamb Dish,Indian Cuisine, 1 plate,299,6,17,32
Mutton Mince Home Cooked Indian,Generic, 1 cup cooked,175,0,0,0
Fish Boiled Gravy,Indian, 0.5 cup cooked,100,0,6,16
Indian Curry Gravy,Yeos, 0.333333 Cup,80,8,5,1
bhatura,bhatura, 1 piece,220,28,9,7
Bhatura,Homemade, 1 bhatura,230,32,9,5
Bhatura,Ashoka, 1 piece,210,26,9,4
Bhatura Small,Homemade, 1 piece,148,15,9,3
Channa Bhatura,Generic, 1 plate,522,73,20,15
Choley Bhatura,Haldiram, 0.5 container (200g),590,56,35,13
Bhatura (Grilled),Indian, 1 piece,107,23,1,2
Bhatura,Swad, 1 piece,230,25,12,4
Chole,Kc, 1 cup,157,24,5,7
Chole,Nm, 3 oz,40,8,1,2
Chana Bhatura,North Indian, 1 Bhatura + 1/2 cup cooked Chana,525,73,20,15
Chana Bhatura,Epic, 1 serving,581,91,17,17
Chana Bhatura,Home Made, 2 Bhatura,522,72,20,15
Chole,Chawal, 1 plate,0,0,0,0
Choley Bhatura,Haldiram's Nagpur, 0.5 container (200g),590,56,35,13
Chole Chatpate,Mirch Masala Frozen Chole, 0.5 tray,210,18,12,5
Bhatura,Masala Bagh, 100 g,356,50,16,6
Chole,Dp, 1 oz,40,0,0,0
Maa Chole Daal [ [cooked],Rockfella's Maa Chole, 100 Grams,222,27,10,9
Cholle Bhatura (84167.0),Eurest, 1 serving(s),746,94,32,22
Puri,puri, 1 piece,107,17,3,3
Masala Puri,Masala Puri, 1 pc,36,8,0,1
Pani Puri,Pani Puri, 1 piece,36,4,2,1
