Food,Category,Amount,Calories,Carbs(in g),Fat(in g),Protein(in g)
the Most Accurate One!,Generic Shorba, 1 cup,100,1,1,50
Dal Palak Shorba - Lentil & Spinach Soup (Vegan),Cafe Spice, 8 oz,120,19,2,7
Dal Shorba,UNC Chapel Hill CDS Carolina Dining Services, 12.07 oz,215,31,6,12
Dal Shorba With Roasted Garlic,Maggi Cup-a-licious, 150 ml,44,9,1,1
Curried Tomato Lentil Soup (Shorba Addis),21 Day Vegan Kickstart, 1 Cup,359,75,1,16
Chicken,Grilled chicken, 4 oz,100,1,2,22
Chicken,Chicken tenderloin, 1 piece,100,0,1,22
Chicken,Chicken drumsticks, 1 One drumstick,180,0,10,22
Chicken Thigh,Chicken, 1 cup,135,0,8,14
Chicken,Grilled chicken, 4 oz,100,1,2,22
Chicken Thigh,Chicken, 1 cup,135,0,8,14
Chicken,Chicken tenderloin, 1 piece,100,0,1,22
Chicken,Chicken drumsticks, 1 One drumstick,180,0,10,22
Mc Chicken,Chicken, 1 cup,360,40,16,14
Chicken,organic chicken, 4 oz,120,0,1,26
Chicken,Chicken Meijer, 3 oz,120,0,4,21
Hawaiian Chicken,Chicken, 1 c,247,25,2,30
Evol Chicken Teriyaki Chicken,Evol Chicken Teriyaki Chicken, 1 bowl,260,43,3,14
Rotisserie Chicken,Rotisserie chicken, 3 oz,170,1,11,15
Rotisserie Chicken,Rotisserie chicken, 3 oz,170,1,11,15
Chicken Wing,Chicken Wing, 1 wing,81,0,5,7
Chicken Tenders,Bush's Chicken, 2 tenders,280,15,15,21
Ground Chicken,Ground Chicken, 100 g,160,0,10,18
Garlic Chicken,Garlic Chicken, 3 oz,299,6,17,30
Chicken,Baked Chicken Thigh, 1 thigh,135,0,8,14
Chicken Bacon,chicken bacon, 2 slice,60,1,4,6
Chicken,Lemon Pepper Chicken, 4 ounces,110,3,3,19
Chicken Florentine,Chicken Florentine, 4 oz,260,10,6,40
Chicken & Chicken Gravy,Gerber, 1 jar,100,2,6,8
tutti frutti plus,tutti frutti, 100 gram,287,64,1,3
Tutti Frutti Special,Tutti Frutti, 1 plate,940,156,0,29
Vanilla,Tutti Frutti, 0.5 cup,100,21,0,4
Tutti Frutti,Graze *, 38 g,110,28,0,1
Chocolate,Tutti Frutti, 0.5 cup,120,26,0,3
Tutti Frutti,Trident, 2 unidades,6,2,0,0
Tutti-frutti,Haribo, 100 g,349,82,0,5
Tutti Frutti,Jumbo, 15 gram,43,10,0,0
Karkki,Tutti frutti, 100 g,360,83,2,1
Tart,Tutti Frutti, 0.5 cup,95,20,0,3
Tutti Frutti,Ah, 100 gm,260,58,1,3
Tutti Frutti,Euroshopper, 100 g,235,47,2,3
Tutti Frutti,Cloetta, 100 g,353,83,1,6
Tutti Frutti,Graze.com, 1 pack,120,30,0,1
Watermelon,Tutti Frutti, 1 oz,30,6,0,0
Tutti Frutti,Compal, 200 ml,86,21,0,0
Tutti  Frutti,Fazer, 100 g,344,84,1,2
Sorbet,Tutti Frutti, 135 g,88,26,0,0
Tutti Frutti,Picardnf, 46 g,38,10,1,1
Tutti Frutti,Alesto, 25 g,54,12,2,1
Cereal,Wwe Booty O's, 0.75 cup (27g),110,23,1,2
Fruit Snacks,Wwe, 1 Pouch,70,17,0,1
Birthday Cake,WWE Cake, 100 gram,445,64,20,3
Multi Vitamin Gummies,WWE, 2 gummies,16,4,0,0
Beef Barley Soup,Wwe Cafeteria, 8 fl oz,120,14,0,6
Balor Club Chipotle Dark Chocolate,WWE, 0.5 bar,230,22,14,2
Wwe Superstars Cookie Sandwich,Good Humor, 1 sandwich (64g),150,27,4,2
WWE Super Stars Cookie Sandwich,Good Humor, 1 unit,150,27,4,2
Party Care Bar,WWE The New Day Chocolate, 0.5 Bar,240,25,15,2
"Johnny Appleseed (Wwe Bagel, Honey Maple Turkey, Granny Smith Apple, Bacon, Lettuce, No Mayo)",Bagelheads, 1 sandwich,485,0,0,0
Jelly Filled,Dunkin Doughnuts, 1 doughnut,330,32,22,5
Jelly Munchkin (Updated),Dunkin' Doughnuts, 1 munchkin,60,8,3,1
Jelly Doughnuts,Koffee Kup Bakery, 1 doughnut,200,33,6,4
Sufganiyah (Jelly Doughnuts),AFV, 4 oz,176,36,2,5
Sufganiyah (Jelly Doughnuts),ADC, 4 oz,176,36,2,5
"Doughnuts, yeast-leavened, with jelly filling",,,340,39,19,6
Doughnuts,Doughnuts, 100 g,450,51,25,5
Mini Raspberry Jelly Doughnuts,Trader Joe's, 4 Doughnuts,200,23,11,3
Sufganiyot  Jelly Doughnuts (89657.0),Flik, 1 each,217,33,8,3
Krispy Kreme Doughnuts,Jelly Belly, 30 g,110,27,0,0
Baked Cake Doughnuts,Doughnuts, 1 doughnut,173,27,5,3
Doughnuts,Salted caramel doughnuts, 1 doughnut,317,43,14,4
super doughnuts,super doughnuts, 1 pack,280,43,9,0
Glazed Doughnuts,Golden Doughnuts, 1 doughnut,154,18,9,3
Doughnuts,Mrs Dunster's Doughnuts, 1 donut (64g),300,35,16,3
Krispy Kreme Doughnuts Jelly Beans Mini Pack,Jelly Belly, 1 Package,100,26,0,0
Oreo Doughnuts,Oreo Doughnuts, 1 doughnut,326,34,19,4
Doughnuts,Loven, 1 Doughnut,150,22,8,2
Frosted Vanilla Cake Doughnuts,Duck Doughnuts, 1 doughnut,310,26,12,3
Doughnuts,Mini Doughnuts, 1 donut,415,51,21,5
Lemon Tart,Aladdin, 1 Slice,450,50,27,5
Lemon shortbread tart,Lemon  shortbread tart, 0.1 th,340,46,16,3
Lemon tart,Entenmanns  mini lemon tart, 2 tarts,400,64,15,2
Lemon Tart,Homemade, 1 tart,380,41,23,3
Tart,Bakery lemon tart, 1 tart,185,27,8,2
Lemon Tart,Woolworths, 36 g,135,20,5,1
Lemon Tart,Sainsbury's, 64 g (1 Slice),294,30,18,3
Lemon Tart,Waitrose, 100 g,439,0,28,3
"Lemon Tart, Mini Homemade",Homemade Mini Lemon Tart, 1 mini tart,36,4,2,1
Lemon Tart,Wegmans, 0.167 tart (85g),310,30,21,3
Lemon Tart,Coles, 56 g,246,28,13,3
Lemon Tart,Starbucks, 1 cake,244,42,7,2
Lemon Tart 39g,Coles Lemon Flavoured Tart, 1 tart 39g,170,26,7,2
Lemon Tart,Generic, 0.333 tart,110,0,7,1
Lemon Pie/Tart,Lemon Pie/Tart (Food Lion), 1 pie,320,42,16,4
Lemon Tart,Carluccio's, 1 tart,539,0,34,0
Lemon Tart,Rebbl, 12 fl oz,150,19,8,1
Lemon tart,Morrisons, 80 g,272,31,14,4
Lemon Tart,Aladdin Food, 1 Slice,450,50,27,5
lemon tart ,sainsburys, 1 sixth,282,30,17,3
Beef Lasagna,Beef Lasagna, 375 g,480,28,22,39
Beef Lasagna,Morrison, 1 cup,238,16,11,18
Beef Lasagna,Bene, 1 serving,446,38,19,29
W/ Beef,Lasagna, 1 piece,350,0,0,0
Beef Lasagna,Woolworths, 250 g,290,46,7,14
Beef Lasagna,Asda, 375 g,490,37,24,27
Beef Lasagna,Lazar, 1 cup,260,31,8,17
Beef Lasagna,Iceland, 500 g,618,59,28,30
Beef Lasagna,Compliments, 300 grams,360,40,13,23
Beef Lasagna ,Youfoidz Beef Lasagna, 300 gram,384,31,21,18
Lasagna (Beef),Dfac, 1 slice,396,0,9,0
Beef Lasagna,ARAMARK Healthcare, 1 serving,446,38,19,29
beef lasagna,beef lasagne, 100 g,130,12,6,7
Beef lasagna,HEB, 1 cup,360,38,16,18
Beef Lasagna,Michigan Dining, 5 Oz Serving,248,17,11,20
Beef Lasagna,Fit2go, 1 container,168,18,6,12
Beef Lasagna,Southgate, 1 Can (213g),200,21,9,8
Lasagna,Compliments Beef Lasagna, 250 gram,290,32,10,18
Ella's Lasagna,Beef Lasagna, 1 slice,410,29,18,31
"Beef, Sausage, Cbm",Lasagna, 0.5 Cup Cooked,170,31,15,21
Barfi,Barfi, 1 peice,84,10,4,1
Plain,Indian Sweet Barfi (Khoya), 100 g,284,39,12,7
Barfi (Plain Khoya Barfi),Ambala, 1 piece (about 52 grams),178,24,8,4
Barfi,Pooja, 1 piece,125,17,5,3
Barfi,AhbabÂ Barfi, 25 g,125,17,5,3
Barfi,Koya, 1 piece,77,0,0,0
Barfi,Trinidad, 46 g,150,17,7,4
Barfi,(Jhs), 1 slice (50g),270,28,17,3
Mava Barfi,Bikaji, 1 Piece,105,12,5,3
kaju barfi,bikanerwala, 1 piece,78,9,4,2
Besan barfi,Mazza, 100 g (2x50g),287,31,20,6
Kaju Barfi,Generic, 1 pc,90,15,13,4
Barfi,Indian Deli, 1 per cubic inch,59,8,3,1
Khajur Barfi,Haldiram's, 20 g,100,11,5,2
Coconut / Milk Barfi,India, 100 g,460,60,20,4
Badam Barfi,Shri Mithai, 30 gms,130,15,8,3
Barfi,Ambala, 100 gram,363,49,16,11
Indian Sweet,Chitale - Amba Barfi Burfi, 100 grams,430,71,13,8
Barfi,Shahzeb's, 1 piece,125,17,5,3
Barfi,Rajarams, 100 gram,489,60,25,13
Barfi,Barfi, 1 peice,84,10,4,1
Plain,Indian Sweet Barfi (Khoya), 100 g,284,39,12,7
Barfi (Plain Khoya Barfi),Ambala, 1 piece (about 52 grams),178,24,8,4
Barfi,Pooja, 1 piece,125,17,5,3
Barfi,AhbabÂ Barfi, 25 g,125,17,5,3
Barfi,Koya, 1 piece,77,0,0,0
Barfi,Trinidad, 46 g,150,17,7,4
Barfi,(Jhs), 1 slice (50g),270,28,17,3
Mava Barfi,Bikaji, 1 Piece,105,12,5,3
kaju barfi,bikanerwala, 1 piece,78,9,4,2
Besan barfi,Mazza, 100 g (2x50g),287,31,20,6
Kaju Barfi,Generic, 1 pc,90,15,13,4
Barfi,Indian Deli, 1 per cubic inch,59,8,3,1
Khajur Barfi,Haldiram's, 20 g,100,11,5,2
Coconut / Milk Barfi,India, 100 g,460,60,20,4
Badam Barfi,Shri Mithai, 30 gms,130,15,8,3
Barfi,Ambala, 100 gram,363,49,16,11
Indian Sweet,Chitale - Amba Barfi Burfi, 100 grams,430,71,13,8
Barfi,Shahzeb's, 1 piece,125,17,5,3
Barfi,Rajarams, 100 gram,489,60,25,13
Barfi,Barfi, 1 peice,84,10,4,1
Barfi (Plain Khoya Barfi),Ambala, 1 piece (about 52 grams),178,24,8,4
Barfi,Pooja, 1 piece,125,17,5,3
Barfi,AhbabÂ Barfi, 25 g,125,17,5,3
Barfi,Koya, 1 piece,77,0,0,0
Barfi,Trinidad, 46 g,150,17,7,4
the Most Accurate One!,Generic Gajar Ki Barfi, 1 cup,100,1,1,50
Barfi,(Jhs), 1 slice (50g),270,28,17,3
Mava Barfi,Bikaji, 1 Piece,105,12,5,3
kaju barfi,bikanerwala, 1 piece,78,9,4,2
Besan barfi,Mazza, 100 g (2x50g),287,31,20,6
Kaju Barfi,Generic, 1 pc,90,15,13,4
Barfi,Indian Deli, 1 per cubic inch,59,8,3,1
Khajur Barfi,Haldiram's, 20 g,100,11,5,2
Coconut / Milk Barfi,India, 100 g,460,60,20,4
Badam Barfi,Shri Mithai, 30 gms,130,15,8,3
Barfi,Ambala, 100 gram,363,49,16,11
Barfi,Shahzeb's, 1 piece,125,17,5,3
Barfi,Rajarams, 100 gram,489,60,25,13
White Barfi [Mitai],Generic, 1 cubic inch,59,8,3,1
Barfi,Barfi, 1 peice,84,10,4,1
Barfi (Plain Khoya Barfi),Ambala, 1 piece (about 52 grams),178,24,8,4
Barfi,Pooja, 1 piece,125,17,5,3
Barfi,AhbabÂ Barfi, 25 g,125,17,5,3
Barfi,Koya, 1 piece,77,0,0,0
Barfi,Trinidad, 46 g,150,17,7,4
the Most Accurate One!,Generic Gajar Ki Barfi, 1 cup,100,1,1,50
Barfi,(Jhs), 1 slice (50g),270,28,17,3
Mava Barfi,Bikaji, 1 Piece,105,12,5,3
kaju barfi,bikanerwala, 1 piece,78,9,4,2
Besan barfi,Mazza, 100 g (2x50g),287,31,20,6
Kaju Barfi,Generic, 1 pc,90,15,13,4
Barfi,Indian Deli, 1 per cubic inch,59,8,3,1
Khajur Barfi,Haldiram's, 20 g,100,11,5,2
Barfi,Ambala, 100 gram,363,49,16,11
Coconut / Milk Barfi,India, 100 g,460,60,20,4
Badam Barfi,Shri Mithai, 30 gms,130,15,8,3
Barfi,Shahzeb's, 1 piece,125,17,5,3
Barfi,Rajarams, 100 gram,489,60,25,13
White Barfi [Mitai],Generic, 1 cubic inch,59,8,3,1
Barfi,Barfi, 1 peice,84,10,4,1
Barfi (Plain Khoya Barfi),Ambala, 1 piece (about 52 grams),178,24,8,4
Barfi,Pooja, 1 piece,125,17,5,3
Barfi,AhbabÂ Barfi, 25 g,125,17,5,3
Barfi,Koya, 1 piece,77,0,0,0
Barfi,Trinidad, 46 g,150,17,7,4
the Most Accurate One!,Generic Gajar Ki Barfi, 1 cup,100,1,1,50
Barfi,(Jhs), 1 slice (50g),270,28,17,3
Mava Barfi,Bikaji, 1 Piece,105,12,5,3
kaju barfi,bikanerwala, 1 piece,78,9,4,2
Besan barfi,Mazza, 100 g (2x50g),287,31,20,6
Kaju Barfi,Generic, 1 pc,90,15,13,4
Barfi,Indian Deli, 1 per cubic inch,59,8,3,1
Khajur Barfi,Haldiram's, 20 g,100,11,5,2
Coconut / Milk Barfi,India, 100 g,460,60,20,4
Badam Barfi,Shri Mithai, 30 gms,130,15,8,3
Barfi,Ambala, 100 gram,363,49,16,11
Barfi,Shahzeb's, 1 piece,125,17,5,3
Barfi,Rajarams, 100 gram,489,60,25,13
White Barfi [Mitai],Generic, 1 cubic inch,59,8,3,1
Masala Vada,Masala Vada, 2 pc,100,19,1,5
Masala Vada,Generic, 1 piece,100,19,4,5
Masala Vada (Chenna Dal),Generic, 10 g (1 piece),10,2,1,0
CroquetteÂ TikkaÂ Masala,VadaÂ Pow, 110 gram,135,15,7,3
MasalaÂ vada,MinuteÂ khansÂ Â Haldiram, 2 pcs,270,21,18,7
Medu Vada,Homemade - Medu Vada, 2 Pieces,334,43,11,14
Vada,Generic, 1 No,115,12,6,2
Vada,Vish, 1 Piece - 66 grams,240,16,18,6
Vada,Ammas pariippu vada, 2 pc,136,20,3,7
Vada for Dahi-Vada,Deep Indian Gourmet, 2 Pieces,140,11,8,5
Dahi Vada,Homemade, 2 pieces,334,28,21,11
Vada Pav,Generic, 1 piece,300,55,9,3
Medu Vada,Udupi, 2 pieces (66g),180,24,7,6
Vada,Baps, 1 oz,200,18,10,10
Medu Vada,Test, 1 Piece,170,24,6,4
Dahi Vada,Sdsa, 2 pieces,360,60,16,4
Medu Vada,Udipi, 1 piece,185,15,6,8
Medhu Vada,Generic, 1 piece,240,16,18,6
Sabudana Vada,Homemade, 1 piece 25 g,150,0,0,0
Medu Vada,Generic, 2 pcs,334,43,11,14
Masala Vada,Masala Vada, 2 pc,100,19,1,5
Masala Vada,Generic, 1 piece,100,19,4,5
Masala Vada (Chenna Dal),Generic, 10 g (1 piece),10,2,1,0
MasalaÂ vada,MinuteÂ khansÂ Â Haldiram, 2 pcs,270,21,18,7
CroquetteÂ TikkaÂ Masala,VadaÂ Pow, 110 gram,135,15,7,3
Medu Vada,Homemade - Medu Vada, 2 Pieces,334,43,11,14
Vada,Generic, 1 No,115,12,6,2
Vada,Vish, 1 Piece - 66 grams,240,16,18,6
Vada,Ammas pariippu vada, 2 pc,136,20,3,7
Vada for Dahi-Vada,Deep Indian Gourmet, 2 Pieces,140,11,8,5
Dahi Vada,Homemade, 2 pieces,334,28,21,11
Vada Pav,Generic, 1 piece,300,55,9,3
Medu Vada,Udupi, 2 pieces (66g),180,24,7,6
Vada,Baps, 1 oz,200,18,10,10
Medu Vada,Test, 1 Piece,170,24,6,4
Dahi Vada,Sdsa, 2 pieces,360,60,16,4
Medu Vada,Udipi, 1 piece,185,15,6,8
Medhu Vada,Generic, 1 piece,240,16,18,6
Sabudana Vada,Homemade, 1 piece 25 g,150,0,0,0
Medu Vada,Generic, 2 pcs,334,43,11,14
Risotto Media,Risotto, 100 Gr,345,77,1,7
Risotto Carciofi,Risotto, 80 g,513,0,0,0
Risotto,zizzi risotto funghi, 1 plate,507,70,20,14
risotto,Risotto Milanese, 100 gram,352,83,1,9
Mushroom Risotto,Risotto, 0.667 cup,250,34,10,4
Arroz Risotto,Risotto, 1 plato,205,45,0,4
risotto ,Sainsbury risotto, 1 cup,350,65,5,7
Risotto,Tomato risotto, 100 g,156,32,1,4
Risotto Con Zucchine,Risotto, 1 g,492,81,13,12
Mushroom Risotto,Alessi Risotto, 0.25 cup (56 g) dry,210,39,3,5
Parmesean Risotto,Parmesean Risotto, 1 Cup,307,46,9,10
Corn Risotto,Corn Risotto, 1 cup,226,45,2,5
Spinach Risotto,Homemade Risotto, 1 cup,160,0,0,0
Risotto Aux LÃ©gumes,Risotto, 150 g,250,22,7,6
Safran Risotto,Risotto Coop, 100 g,220,25,11,4
Ground Beef Risotto,Risotto, 1.75 cups,460,44,17,31
Edamame Risotto,Risotto, 1 cup,398,0,14,0
Risotto,Black Rice Risotto, 0.75 cup,450,65,13,21
Risotto aux asperges,Risotto, 100 g,162,18,8,5
Risotto,Risotto Carnaroli, 100 gram,352,70,1,9
Snickers Kudos,Kudos, 1 bar,100,16,4,1
Dove,Kudos, 1 bar,100,17,3,1
Snicker Bar,Kudos, 1 bar,100,16,4,2
M&m,kudos, 1 bar,100,17,3,1
with Snickers,Kudos, 1 bar,100,16,4,2
Granola Bar,Kudos, 1 bar,100,17,3,1
Peanut Butter,Kudos, 1 bar,130,18,6,2
Snickers Granola Bar,Kudos, 1 bar,100,16,4,2
Snickers,Kudos, 100 g,293,2,25,14
Dove,Kudos, 1 bagle,418,49,21,5
Dove Chocolate Drizzle,Kudos, 1 bar,100,17,3,1
M&m Bar,Kudos, 1 bar,100,17,3,1
Mae Goreng,Kudos, 1 Portion,397,0,0,0
Peanut Butter Bar,Kudos, 1 bar,100,13,4,1
M & M 's,Kudos, 1 bar,100,17,3,1
Spicy Beef Szechuan,Kudos, 1 plate,547,0,0,0
Green tea,KUDOS, 1 tea bag,0,0,0,0
M&M's,Kudos, 100 g,51,6,1,4
2013 Pinot Noir ,Kudos, 5 oz,120,0,0,0
90 Calorie Chocolate Chip,Kudos, 1 Bar,90,17,4,1
Hamas artichoke heart tortelloni,Mattarello, 125 g,281,44,6,11
Hamas artichoke heart tortelloni,Mattarello, 125 g,281,44,6,11
Hamas artichoke heart tortelloni,Mattarello, 125 g,281,44,6,11
Hamas artichoke heart tortelloni,Mattarello, 125 g,281,44,6,11
Hamas artichoke heart tortelloni,Mattarello, 125 g,281,44,6,11
Hamas artichoke heart tortelloni,Mattarello, 125 g,281,44,6,11
Photo Fries,Oishi, 1.06 oz.,150,20,7,2
photo starch,starch, 14 g,10,3,0,1
Protein,Photo, 26 gm,96,1,0,23
Photo snack,Crispy, 20 gram,100,12,5,3
CO-Q10,Photo Therapy, 1 Tablet,5,1,0,0
Create Your Own Photo Cake,Asda, 1 slice,161,37,7,0
PhotoÂ vitamin,Cenegenics, 2 capsules,0,0,0,0
Photo Circle,Generic, 18 g,97,11,6,1
Photo cake,Morrisons, 1 Slice (61g),325,33,21,2
Photo Celebaration Cake,Sainsbury's, 1 Slice (24 per Cake),309,52,11,2
Jaga Pikkuru,Photo Farm, 1 bag (18g),108,9,8,0
Protein Bar,Photo Pure, 1 Bar,310,25,10,31
ACEROLA 1000,Photo terra, 1 comprimÃ©,5,2,0,0
Photo Perfect Chocolate,Biohealth, 1 scoop,177,6,5,28
Photo 123 cake,Morrisons, 100 gram,533,54,34,3
Elit photo,ÐÐ»ÐµÑÑÐ°ÑÐºÐ° Ð¸Ð· Ð»ÑÐ½Ð°, 100 g,325,3,16,42
Chips,Kroger classic photo chips, 1 oz,150,15,10,2
Levedura dr cerveja,Photo Foods, 1 Comp,7,1,1,1
KetogenicÂ CollagenÂ PhotoÂ Moringa,Metagenics, 2 scoops,200,9,15,10
Acerola bio 1000,Photo actif, 1 comprimÃ©,0,0,0,0
Cornetto Cioccolato,Cornetto, 1 cornetto,237,25,14,5
Enigma Cornetto,Cornetto, 1 cornetto,180,20,10,3
Cornetto Erdbeere,Cornetto, 1 Eis,153,25,6,2
Cornetto Integrale,Cornetto Integrale, 1 Pezzo,177,18,10,4
Golden Gaytime Cornetto,Cornetto, 70 g,191,27,9,1
cornetto,cornetto sfornasole, 1 cornetto,140,0,0,0
Cornetto,Cornetto, 100 gr,350,46,17,6
Cornetto Al Cioccolato,Cornetto - Croissant, 50 g,237,25,14,5
Strawberry,Cornetto, 1 cup,170,23,7,2
cornetto mini classic ,cornetto, 60 gramo,116,13,7,1
Cornetto Waldfrucht ,Cornetto, 1 Eis,185,26,8,2
Cornetto soft,Cornetto soft, 1 Eis,160,27,8,2
Cornetto Honeycomv,Cornetto, 75 g,247,29,14,2
Haselnuss,Cornetto, 1 cone,234,26,13,3
Chocolate,Cornetto, 1 helado,170,20,9,2
Cornetto ,Valsoia, 1 coni,217,26,11,3
Drumstick,Cornetto, 75 g,250,25,15,3
Erdbeer,Cornetto, 120 ml (75 g),198,30,8,2
Oreo,Cornetto, 81 g,270,37,12,3
Cornetto,Cerbiatto, 1 serving,204,22,11,4
Cheese balls,Cheese balls gv, 29 balls,160,15,10,1
Balls,Cheese, 1 oz,130,16,7,2
Cheese Balls,Market Pantry cheese balls, 1.5 cups,160,15,10,2
Cheese balls ,Cheese balls, 44 pieces,160,15,10,1
Cheese Balls,Target, 1 cup,160,15,10,2
Cheese Balls,Olw Cheese Balls, 125 g,125,13,8,2
Cheese Balls ,Mr Toppers Cheese Balls, 1 pack,120,15,6,2
Cheese Balls,Utz, 1 oz about 32 balls,150,14,9,2
Cheese Balls,Hy-Vee Cheese Balls, 1 oz,170,17,10,2
Cheese Balls,Krogers, 1.25 cups,170,19,9,2
Cheese Balls,Krogers, 1.25 cups,170,19,9,2
Cheese Balls,Brim's, 1 oz.,150,14,10,1
Cheese Balls*,Herr's, 35 balls /28g,150,17,9,0
Cheese Balls,Tesco, 17 g,93,10,6,1
Cheese Balls,Schwanns, 0.75 cup,300,21,18,14
Cheese Balls,Clancy's, 1 oz,150,14,10,1
Cheese Balls,Nice!, 1 oz,140,15,8,0
Cheese Balls,Schwan's, 0.75 cup,300,21,18,14
Cheese Balls,Heb, 31 pieces,150,17,9,2
Cheese Balls,Brim's, 1 oz.,150,14,10,1
Baked Kadboli,Prashant Snacks, 1 cup,50,0,0,0
Dhokla,Prashant Sweets Shop Make, 1 cup cooked,120,0,0,0
Baked Kadboli,Prashant Snacks, 1 cup,50,0,0,0
Dhokla,Prashant Sweets Shop Make, 1 cup cooked,120,0,0,0
Baked Kadboli,Prashant Snacks, 1 cup,50,0,0,0
Dhokla,Prashant Sweets Shop Make, 1 cup cooked,120,0,0,0
Baked Kadboli,Prashant Snacks, 1 cup,50,0,0,0
Dhokla,Prashant Sweets Shop Make, 1 cup cooked,120,0,0,0
Tea Cake,Tea Cake, 25 gr,102,0,0,0
Tea Cake,Warburtons, 1 tea cake,164,30,2,5
Tea Cake,Tunnocks, 1 each,106,15,5,1
Tea Cake,Tunnock's, 1 each,110,15,5,1
Tea Cake,Sainsburys, 1 teacake,209,39,3,5
tea cake,cookie butter tea cake, 1 each,120,17,6,1
tea cake,lyons, 12.5 gram,55,8,2,1
Apple Cake,Apple Tea Cake, 1 - 1/2 X 2 square,260,28,16,2
Cake,Tea cake, 100 g,453,58,21,8
Tea Cake,Brossard, 1 slice,193,33,5,2
Tea Cake,Cooperative, 1 bun,175,32,2,8
Toasted Tea Cake,Slade Tea Rooms, 1 serving,260,45,5,7
Carrot Cake Tea,David's Tea, 1 cup brewed,0,0,0,0
cake,Green tea cheese cake, 1 pcs,80,0,0,0
Tetley Tea Loaf Cake,Tetley Tea, 50 g,180,30,5,3
Almond Tea Cake,Peet Coffee & Tea, 1 Cake,220,23,12,6
Cake,Ginger tea cake, 1 piece,120,17,6,1
Green Tea Roll Cake,Japanese Cake, 1 piece,161,21,6,6
Russian Tea Cake,Generic, 1 Cookie (35g),130,27,2,2
Fruit Tea Cake,Tesco, 68 g (1 Bun),187,35,3,5
Blueberry Muffins,Blueberry muffins, 1 muffin,100,14,5,1
Blueberry muffins,Otis.Spunkmeyer blueberry   Muffins, 1 muffin,340,45,16,5
Blueberry Muffins,Home Made Blueberry Muffins, 1 muffin,310,57,14,4
Blueberry Muffins,Whole Wheat-Blueberry Muffins, 1 Muffin,255,39,8,6
Homemade Blueberry Muffins-betty Crocker,Blueberry Muffins, 1 muffin,195,20,6,2
Mini Muffins,Blueberry, 1 muffin,100,11,5,1
Blueberry Muffins,Blueberry Muffins Splenda Recipe, 1 Muffin,160,26,5,4
Blueberry Muffins,Aladdin, 1 Muffin,338,64,8,4
blueberry muffins,membermark blueberry muffins, 1673 gr,680,83,36,8
Blueberry Muffins,Ent'enmann's Little Bites Blueberry Muffins, 1 package,180,25,8,2
Blueberry Muffins,Bc, 1 muffin,120,19,5,3
Blueberry Muffins,Costco, 100 g,610,71,32,5
Blueberry Muffins,Woolworths, 105 g,332,49,13,5
Blueberry Muffins,Krusteez, 1 muffin,120,31,4,1
Blueberry Muffins,Waitrose, 1 muffin,259,31,13,3
Blueberry Muffins,Shoprite, 1 muffin,260,34,13,3
Blueberry Muffins,Marvellous Muffins, 1 Muffin (20g),75,10,3,1
Blueberry Muffins,Jiffy, 1 Muffin,75,11,2,1
Muffins Blueberry,Homemade, 1 muffin,252,39,9,4
Blueberry Protein Muffins,Blueberry Protein Muffins, 1 muffin,110,7,1,3
fish cutlet,fish, 120 gram,190,28,3,15
Sri Lankan Fish Cutlet,Fish Cutlet, 1 cutlet,97,7,6,4
Fish Cutlet,Home, 1 slice,227,9,15,12
Fish Cutlet,Sunfeast, 50 g,100,15,3,7
Fish Cutlet,Jk1m, 0.25 piece 40g,35,0,0,0
Fish Cutlet,Tsu Cafe, 1 piece,113,3,6,12
Minced Fish Cutlet,Homemade, 100 g,259,10,18,15
Mediterranean fish cutlet,Dare, 1 cutlet,150,3,4,26
Cutlet From Fish ,Homemade Fish Cotlet, 100 g,112,3,6,12
Frozen Fish Cutlet,Britte Frozen Fish Cutlet, 1 cutlet,171,29,1,11
fish cutlet,seastar, 100 g,130,18,2,11
Breaded Fish Cutlet,Korean, 1 cutlet,100,17,1,7
Fish Cutlet,Britte, 1 Cutlets,171,29,1,11
Fish cutlet,Gippo, 100 gram,110,7,3,15
Fish cutlet,Choripdong, 1 fish,101,17,1,7
Fish Cutlet,Korean, 100 g,130,19,1,11
FishÂ Cutlet,ElakkiaÂ FishÂ Cutlets, 1 cutlet,52,7,1,3
Frozen Fish Cutlet,Hansung, 60 g,110,15,3,6
fish cutlet,first pride, 2 pieces,292,23,15,0
Fish Cutlet,Instant Delight, 1 piece,290,40,19,20
fish cutlet,fish, 120 gram,190,28,3,15
Sri Lankan Fish Cutlet,Fish Cutlet, 1 cutlet,97,7,6,4
Fish Cutlet,Home, 1 slice,227,9,15,12
Fish Cutlet,Sunfeast, 50 g,100,15,3,7
Fish Cutlet,Jk1m, 0.25 piece 40g,35,0,0,0
Fish Cutlet,Tsu Cafe, 1 piece,113,3,6,12
Minced Fish Cutlet,Homemade, 100 g,259,10,18,15
Mediterranean fish cutlet,Dare, 1 cutlet,150,3,4,26
Cutlet From Fish ,Homemade Fish Cotlet, 100 g,112,3,6,12
Frozen Fish Cutlet,Britte Frozen Fish Cutlet, 1 cutlet,171,29,1,11
fish cutlet,seastar, 100 g,130,18,2,11
Breaded Fish Cutlet,Korean, 1 cutlet,100,17,1,7
Fish Cutlet,Britte, 1 Cutlets,171,29,1,11
Fish cutlet,Gippo, 100 gram,110,7,3,15
Fish cutlet,Choripdong, 1 fish,101,17,1,7
